Date,Confirmed,S,I,R,Deaths
3/10/2020,2,79536707,2,0,0
3/11/2020,3,79536706,3,0,0
3/12/2020,3,79536706,3,0,0
3/13/2020,3,79536707,2,1,0
3/14/2020,3,79536707,2,1,0
3/15/2020,4,79536708,1,3,0
3/16/2020,4,79536708,1,3,0
3/17/2020,4,79536708,1,3,0
3/18/2020,4,79536708,1,3,0
3/19/2020,7,79536705,4,3,0
3/20/2020,17,79536695,14,3,0
3/21/2020,17,79536695,14,3,0
3/22/2020,24,79536688,21,3,0
3/23/2020,28,79536684,25,3,0
3/24/2020,32,79536680,29,3,0
3/25/2020,36,79536676,33,3,0
3/26/2020,41,79536671,38,3,0
3/27/2020,41,79536671,38,3,0
3/28/2020,54,79536658,51,3,0
3/29/2020,55,79536657,52,3,0
3/30/2020,59,79536653,56,3,0
3/31/2020,74,79536638,71,3,0
4/1/2020,93,79536619,90,3,0
4/2/2020,108,79536604,105,3,0
4/3/2020,167,79536545,164,3,0
4/4/2020,200,79536530,179,21,0
4/5/2020,200,79536530,179,21,0
4/6/2020,274,79536456,253,21,0
4/7/2020,288,79536442,267,21,3
4/8/2020,328,79536402,307,21,3
4/9/2020,383,79536347,362,21,3
4/10/2020,463,79536267,442,21,3
4/11/2020,553,79536177,532,21,3
4/12/2020,700,79536030,679,21,3
4/13/2020,812,79535918,791,21,3
4/14/2020,879,79535963,746,133,3
4/15/2020,1005,79535851,858,147,3
4/16/2020,1023,79535833,876,147,3
4/17/2020,1131,79535742,967,164,11
4/18/2020,1229,79535663,1046,183,11
4/19/2020,1351,79535541,1168,183,11
4/20/2020,1478,79535414,1295,183,14
4/21/2020,1576,79535338,1371,205,25
4/22/2020,1801,79535138,1571,230,25
4/23/2020,1890,79535049,1660,230,27
4/24/2020,1964,79534975,1734,230,27
4/25/2020,2034,79534905,1804,230,27
4/26/2020,2083,79535119,1590,493,33
4/27/2020,2185,79535042,1667,518,41
4/28/2020,2262,79535116,1593,669,46
4/29/2020,2364,79535113,1596,768,51
4/30/2020,2438,79535039,1670,768,51
5/1/2020,2584,79534961,1748,836,58
5/2/2020,2666,79535159,1550,1116,62
5/3/2020,2772,79535058,1651,1121,65
5/4/2020,2886,79535179,1530,1356,71
5/5/2020,3061,79535042,1667,1394,77
5/6/2020,3158,79535076,1633,1525,89
5/7/2020,3317,79534988,1721,1596,92
5/8/2020,3427,79534878,1831,1596,97
5/9/2020,3579,79535046,1663,1916,101
5/10/2020,3708,79535027,1682,2026,106
5/11/2020,3814,79535071,1638,2176,107
5/12/2020,3988,79534985,1724,2264,113
5/13/2020,4126,79534961,1748,2378,117
5/14/2020,4328,79534840,1869,2459,121
5/15/2020,4534,79534755,1954,2580,125
5/16/2020,4727,79534659,2050,2677,125
5/17/2020,4960,79534588,2121,2839,126
5/18/2020,5202,79534499,2210,2992,131
5/19/2020,5507,79534420,2289,3218,138
5/20/2020,5845,79534201,2508,3337,143
5/21/2020,6015,79534098,2611,3404,147
5/22/2020,6227,79533967,2742,3485,151
5/23/2020,6494,79533895,2814,3680,153
5/24/2020,6742,79533753,2956,3786,160
5/25/2020,7028,79533529,3180,3848,163
5/26/2020,7300,79533360,3349,3951,167
5/27/2020,7536,79533344,3365,4171,170
5/28/2020,7703,79533463,3246,4457,173
5/29/2020,8067,79533459,3250,4817,180
5/30/2020,8365,79533588,3121,5244,184
5/31/2020,8617,79533831,2878,5739,193
6/1/2020,8831,79533805,2904,5927,194
6/2/2020,8980,79533769,2940,6040,198
6/3/2020,9373,79533771,2938,6435,203
6/4/2020,9652,79533801,2908,6744,209
6/5/2020,9862,79533951,2758,7104,213
6/6/2020,10084,79533984,2725,7359,218
6/7/2020,10331,79533879,2830,7501,231
6/8/2020,10599,79533751,2958,7641,240
6/9/2020,10763,79533950,2759,8004,246
6/10/2020,11245,79533792,2917,8328,255
6/11/2020,11600,79533678,3031,8569,259
6/12/2020,11838,79533646,3063,8775,265
6/13/2020,12068,79533539,3170,8898,272
6/14/2020,12401,79533645,3064,9337,282
6/15/2020,12694,79533581,3128,9566,292
6/16/2020,12981,79533513,3196,9785,301
6/17/2020,13216,79533342,3367,9849,308
6/18/2020,13542,79533634,3075,10467,313
6/19/2020,13857,79533594,3115,10742,323
6/20/2020,14156,79533550,3159,10997,333
6/21/2020,14536,79533447,3262,11274,337
6/22/2020,14930,79533376,3333,11597,349
6/23/2020,15232,79533387,3322,11910,356
6/24/2020,15627,79533295,3414,12213,365
6/25/2020,16009,79533311,3398,12611,375
6/26/2020,16296,79533253,3456,12840,379
6/27/2020,16660,79533111,3598,13062,380
6/28/2020,16944,79533132,3577,13367,391
6/29/2020,17271,79533049,3660,13611,399
6/30/2020,17660,79532667,4042,13618,405
7/1/2020,18014,79532915,3794,14220,413
7/2/2020,18312,79532971,3738,14574,421
7/3/2020,18662,79532995,3714,14948,430
7/4/2020,19052,79532938,3771,15281,440
7/5/2020,19532,79532817,3892,15640,447
7/6/2020,20164,79532473,4236,15928,456
7/7/2020,20688,79532299,4410,16278,461
7/8/2020,21404,79531880,4829,16575,472
7/9/2020,22063,79531512,5197,16866,482
7/10/2020,22563,79531216,5493,17070,491
7/11/2020,23174,79531155,5554,17620,497
7/12/2020,23748,79530830,5879,17869,503
7/13/2020,24392,79530420,6289,18103,510
7/14/2020,24936,79530403,6306,18630,525
7/15/2020,25571,79530299,6410,19161,525
7/16/2020,26437,79529774,6935,19502,530
7/17/2020,27174,79529505,7204,19970,538
7/18/2020,27789,79529546,7163,20626,546
7/19/2020,28500,79529353,7356,21144,553
7/20/2020,29434,79529005,7704,21730,559
